,station id,temperature and humidity,humidity,temperature,category
0,01639,+,+,+,1A
1,03631,0,-,+,2C
2,00656,0,0,+,2B
3,00701,-,-,+,3B
4,01691,-,0,+,3A
5,05100,+,0,+,1B
6,04104,0,+,+,2A
7,04887,-,+,+,3C
8,02261,0,+,+,2A
9,05705,0,+,+,2A
10,02601,0,0,+,2B
11,04371,0,-,+,2C
12,02597,+,+,+,1A
13,00867,+,0,+,1B
14,02014,-,-,+,3B
15,01975,0,-,+,2C
16,05371,0,0,+,2B
17,00691,0,0,+,2B
18,05906,0,0,+,2B
