id,height,latitude,longitude,name,Bundesland
983,419,48.5562,10.5599,Dillingen/Donau-Fristingen,Bayern
991,359,50.9116,13.7087,Dippoldiswalde-Reinberg,Sachsen
1001,97,51.6451,13.5747,Doberlug-Kirchhain,Brandenburg
1048,228,51.1278,13.7543,Dresden-Klotzsche,Sachsen
1050,112,51.0221,13.847,Dresden-Hosterwitz,Sachsen
1051,119,51.0249,13.7751,Dresden-Strehlen,Sachsen
1052,80,52.2174,12.1641,Drewitz,bei
1072,107,49.4719,8.1929,"D¸rkheim,",Bad
1078,37,51.296,6.7686,D¸sseldorf,Nordrhein-Westfalen
1103,592,48.1003,11.9872,Ebersberg-Halbing,Bayern
1107,346,49.852,10.4991,Ebrach,Bayern
1130,17,54.6282,9.3649,Eggebek,Schleswig-Holstein
1131,430,51.831,8.9506,Eggegebirge,Nordrhein-Westfalen
1161,384,48.8777,11.2349,Eichst‰tt-Landershofen,Bayern
1164,572,50.6532,6.2808,Eifel,Nordrhein-Westfalen
1185,0,54,8.1167,UFS,Elbe
1197,460,48.9895,10.1312,Ellwangen-Rindelbach,Baden-W¸rttemberg
1200,3,54.0691,9.0105,Elpersb¸ttel,Schleswig-Holstein
1207,558,50.2705,12.2742,"Elster,",Bad-Sohl
1214,431,48.2012,8.1088,Elzach-Fisnacht,Baden-W¸rttemberg
1219,5,53.3449,7.1909,Emden-Nesserland,Niedersachsen
1224,201,48.1378,7.8351,Emmendingen-Mundingen,Baden-W¸rttemberg
1228,0,54.1651,6.346,UFS,TW
1239,540,47.8516,8.7673,Engen/Hegau,Baden-W¸rttemberg
1246,104,51.8418,8.0607,Ennigerloh-Ostenfelde,Nordrhein-Westfalen
1255,226,49.1661,8.8483,Eppingen-Elsenz,Baden-W¸rttemberg
1260,816,49.7297,7.0897,Erbeskopf,Rheinland-Pfalz
1261,460,48.3192,11.944,Erding,Bayern
1262,446,48.3477,11.8134,M¸nchen-Flughafen,Bayern
1266,18,54.2992,9.3162,Erfde,Schleswig-Holstein
1270,316,50.9829,10.9608,Erfurt-Weimar,Th¸ringen
1279,268,49.6497,11.0075,Mˆhrendorf-Kleinseebach,Bayern
1297,156,51.2041,10.0138,Eschwege,Hessen
1300,351,51.254,8.1565,Eslohe,Nordrhein-Westfalen
1303,150,51.4041,6.9677,Essen-Bredeney,Nordrhein-Westfalen
1327,147,50.7119,6.7905,Weilerswist-Lommersum,Nordrhein-Westfalen
1332,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",Bayern
1339,76,52.9157,10.1885,Faﬂberg,Niedersachsen
1341,0,54.6,11.15,Fehmarnbelt,Schleswig-Holstein
1346,1490,47.8749,8.0038,Feldberg/Schwarzwald,Baden-W¸rttemberg
1355,5,53.9167,7.8333,FES,Weser
1357,655,49.9807,11.8376,Fichtelberg/Oberfranken-H¸ttstadl,Bayern
1358,1213,50.4283,12.9536,Fichtelberg,Sachsen
1402,28,54.7,7.1667,Forschungsplattform,Nordsee
1411,747,50.5309,10.0479,Birx/Rhˆn,Th¸ringen
1420,100,50.0259,8.5213,Frankfurt/Main,Hessen
1424,124,50.1269,8.6694,Frankfurt/Main-Westend,Hessen
1426,65,52.3397,14.508,Frankfurt/Oder,Brandenburg
1443,237,48.0232,7.8343,Freiburg,Baden-W¸rttemberg
1451,2,53.8277,9.2493,Freiburg/Elbe,Niedersachsen
1468,797,48.4538,8.409,Freudenstadt,Baden-W¸rttemberg
1473,414,49.1869,11.308,Freystadt-Michelbach,Bayern
1490,394,47.6454,9.4795,Friedrichshafen,Baden-W¸rttemberg
1503,6,53.0643,7.902,Friesoythe-Altenoythe,Niedersachsen
1504,174,51.119,9.2799,Fritzlar,(Flugplatz)
1515,519,48.2,11.2667,F¸rstenfeldbruck,Bayern
1526,242,50.5668,9.6532,Fulda-Horas,Hessen
1544,47,52.5129,11.3942,Gardelegen,Sachsen-Anhalt
1550,719,47.483,11.0621,Garmisch-Partenkirchen,Bayern
1572,80,50.9593,6.0392,Geilenkirchen,(Flugplatz)
1580,111,49.9859,7.9548,Geisenheim,Hessen
1584,673,47.9242,8.6474,Geisingen,Baden-W¸rttemberg
1587,536,48.9481,11.4289,Gelbelsee,Bayern
1590,37,51.4942,6.2463,Geldern-Walbeck,Nordrhein-Westfalen
1602,177,48.433,7.993,Ohlsbach,Baden-W¸rttemberg
1605,35,52.3875,12.1602,Genthin,Sachsen-Anhalt
1612,311,50.8812,12.1289,Gera-Leumnitz,Th¸ringen
1639,203,50.6017,8.6439,Gieﬂen/Wettenberg,Hessen
1645,340,50.9656,9.05,Gilserberg-Moischeid,Hessen
1666,12,54.8273,9.5058,Gl¸cksburg-Meierwik,Schleswig-Holstein
1684,239,51.1621,14.9506,Gˆrlitz,Sachsen
1691,167,51.5002,9.9507,Gˆttingen,Niedersachsen
1694,58,53.6058,12.1034,Goldberg,Mecklenburg-Vorpommern
1721,506,49.664,11.2239,Gr‰fenberg-Kasberg,Bayern
1735,628,48.7894,13.629,Grainet-Rehberg,Bayern
1736,27,53.5731,10.6797,Grambek,Schleswig-Holstein
1757,2,54.0967,13.4056,Greifswald,Mecklenburg-Vorpommern
1759,12,54.2437,13.9102,Greifswalder,Oie
1766,48,52.1344,7.6969,M¸nster/Osnabr¸ck,Nordrhein-Westfalen
1792,27,52.7553,7.4815,Groﬂ,Berﬂen
1803,34,54.0714,12.3238,Groﬂ,L¸sewitz
1832,1436,49.1129,13.1338,Groﬂer,Arber
1833,1307,49.0851,13.2801,Grosser,Falkenstein
1863,258,50.2667,9.1854,Gr¸ndau-Breitenborn,Hessen
1869,56,53.3154,13.9339,Gr¸now,Brandenburg
1886,444,48.4878,10.2608,G¸nzburg,Bayern
1892,72,51.9298,8.3005,G¸tersloh,(Flugplatz)
1957,93,51.5138,11.9499,Halle-Krˆllwitz,Sachsen-Anhalt
1964,328,49.9445,6.3821,Olsdorf,Rheinland-Pfalz
1975,11,53.6332,9.9881,Hamburg-Fuhlsb¸ttel,Hamburg
1981,3,53.4777,9.8957,Hamburg-Neuwiedenthal,Hamburg
2014,55,52.4644,9.6779,Hannover,Niedersachsen
2023,501,48.7918,10.7062,Harburg,Bayern
2039,201,51.9002,10.5699,"Harzburg,",Bad
2044,404,51.652,11.1366,Harzgerode,Sachsen-Anhalt
2074,518,48.3752,8.98,Hechingen,Baden-W¸rttemberg
2080,110,49.4206,8.6676,Heidelberg,Baden-W¸rttemberg
2088,522,48.6849,10.142,Heidenheim/Brenz,Baden-W¸rttemberg
2110,57,51.0411,6.1042,Heinsberg-Schleiden,Nordrhein-Westfalen
2115,4,54.175,7.892,Helgoland,Schleswig-Holstein
2167,302,49.7672,7.3356,Niederwˆrresbach,Rheinland-Pfalz
2170,526,50.1499,6.5527,Weiﬂenseifen,Rheinland-Pfalz
2171,272,50.852,9.7377,"Hersfeld,",Bad
2174,238,51.6255,10.3695,Herzberg,Niedersachsen
2201,1,54.575,13.1044,Hiddensee-Vitte,Mecklenburg-Vorpommern
2211,295,50.737,7.6525,Hilgenroth,Rheinland-Pfalz
2252,271,50.8992,14.7456,Bertsdorf-Hˆrnitz,Sachsen
