,Stations_id,Referenzjahr,Qualitaetsniveau,Objekt_id,Phase_id,Eintrittsdatum,Eintrittsdatum_QB,Jultag,eor,Unnamed: 9
4726,01691,1977,7,202,15,19770518,1,138,eor,                                                                            
4727,01691,1977,7,202,18,19770610,1,161,eor,                                                                            
4728,01691,1977,7,202,21,19770802,1,214,eor,                                                                            
4729,01691,1977,7,202,22,19770811,1,223,eor,                                                                            
4730,01691,1977,7,202,23,19770808,1,220,eor,                                                                            
4731,01691,1977,7,202,24,19770815,1,227,eor,                                                                            
4732,01691,1978,7,202,10,19781010,1,283,eor,                                                                            
4733,01691,1978,7,202,12,19781024,1,297,eor,                                                                            
4734,01691,1978,7,202,15,19780525,1,145,eor,                                                                            
4735,01691,1978,7,202,18,19780615,1,166,eor,                                                                            
4736,01691,1978,7,202,21,19780725,1,206,eor,                                                                            
4737,01691,1978,7,202,22,19780808,1,220,eor,                                                                            
4738,01691,1978,7,202,23,19780818,1,230,eor,                                                                            
4739,01691,1978,7,202,24,19780821,1,233,eor,                                                                            
4740,01691,1979,7,202,10,19790924,1,267,eor,                                                                            
4741,01691,1979,7,202,12,19791013,1,286,eor,                                                                            
4742,01691,1979,7,202,15,19790515,1,135,eor,                                                                            
4743,01691,1979,7,202,18,19790613,1,164,eor,                                                                            
4744,01691,1979,7,202,21,19790723,1,204,eor,                                                                            
4745,01691,1979,7,202,22,19790816,1,228,eor,                                                                            
4746,01691,1979,7,202,23,19790813,1,225,eor,                                                                            
4747,01691,1979,7,202,24,19790818,1,230,eor,                                                                            
4748,01691,1980,10,202,10,19800926,1,269,eor,                                                                            
4749,01691,1980,10,202,12,19801013,1,286,eor,                                                                            
4750,01691,1980,10,202,15,19800518,1,138,eor,                                                                            
4751,01691,1980,10,202,18,19800606,1,157,eor,                                                                            
4752,01691,1980,10,202,21,19800731,1,212,eor,                                                                            
4753,01691,1980,10,202,22,19800826,1,238,eor,                                                                            
4754,01691,1980,10,202,23,19800822,1,234,eor,                                                                            
4755,01691,1980,10,202,24,19800826,1,238,eor,                                                                            
4756,01691,1981,10,202,10,19811001,1,274,eor,                                                                            
4757,01691,1981,10,202,12,19811020,1,293,eor,                                                                            
4758,01691,1981,10,202,15,19810513,1,133,eor,                                                                            
4759,01691,1981,10,202,18,19810531,1,151,eor,                                                                            
4760,01691,1981,10,202,21,19810713,1,194,eor,                                                                            
4761,01691,1981,10,202,22,19810804,1,216,eor,                                                                            
4762,01691,1981,10,202,23,19810806,1,218,eor,                                                                            
4763,01691,1981,10,202,24,19810807,1,219,eor,                                                                            
4764,01691,1982,10,202,10,19820917,1,260,eor,                                                                            
4765,01691,1982,10,202,12,19821009,1,282,eor,                                                                            
4766,01691,1982,10,202,15,19820524,1,144,eor,                                                                            
4767,01691,1982,10,202,18,19820603,1,154,eor,                                                                            
4768,01691,1982,10,202,21,19820722,1,203,eor,                                                                            
4769,01691,1982,10,202,22,19820812,1,224,eor,                                                                            
4770,01691,1982,10,202,23,19820810,1,222,eor,                                                                            
4771,01691,1982,10,202,24,19820812,1,224,eor,                                                                            
4772,01691,1983,10,202,10,19830922,1,265,eor,                                                                            
4773,01691,1983,10,202,12,19831008,1,281,eor,                                                                            
4774,01691,1983,10,202,15,19830510,1,130,eor,                                                                            
4775,01691,1983,10,202,18,19830526,1,146,eor,                                                                            
4776,01691,1983,10,202,21,19830714,1,195,eor,                                                                            
4777,01691,1983,10,202,22,19830731,1,212,eor,                                                                            
4778,01691,1983,10,202,23,19830729,1,210,eor,                                                                            
4779,01691,1983,10,202,24,19830802,1,214,eor,                                                                            
4780,01691,1984,10,202,10,19840925,1,268,eor,                                                                            
4781,01691,1984,10,202,12,19841017,1,290,eor,                                                                            
4782,01691,1984,10,202,15,19840512,1,132,eor,                                                                            
4783,01691,1984,10,202,18,19840614,1,165,eor,                                                                            
4784,01691,1984,10,202,21,19840726,1,207,eor,                                                                            
4785,01691,1984,10,202,22,19840825,1,237,eor,                                                                            
4786,01691,1984,10,202,23,19840828,1,240,eor,                                                                            
4787,01691,1984,10,202,24,19840830,1,242,eor,                                                                            
4788,01691,1985,10,202,10,19850925,1,268,eor,                                                                            
4789,01691,1985,10,202,12,19851015,1,288,eor,                                                                            
4790,01691,1985,10,202,15,19850522,1,142,eor,                                                                            
4791,01691,1985,10,202,18,19850607,1,158,eor,                                                                            
4792,01691,1985,10,202,21,19850801,1,213,eor,                                                                            
4793,01691,1985,10,202,22,19850819,1,231,eor,                                                                            
4794,01691,1985,10,202,23,19850816,1,228,eor,                                                                            
4795,01691,1985,10,202,24,19850819,1,231,eor,                                                                            
4796,01691,1986,10,202,10,19860924,1,267,eor,                                                                            
4797,01691,1986,10,202,12,19861018,1,291,eor,                                                                            
4798,01691,1986,10,202,15,19860513,1,133,eor,                                                                            
4799,01691,1986,10,202,18,19860610,1,161,eor,                                                                            
4800,01691,1986,10,202,21,19860724,1,205,eor,                                                                            
4801,01691,1986,10,202,22,19860812,1,224,eor,                                                                            
4802,01691,1986,10,202,24,19860812,1,224,eor,                                                                            
4803,01691,1987,10,202,10,19870928,1,271,eor,                                                                            
4804,01691,1987,10,202,12,19871016,1,289,eor,                                                                            
4805,01691,1987,10,202,15,19870510,1,130,eor,                                                                            
4806,01691,1987,10,202,18,19870609,1,160,eor,                                                                            
4807,01691,1987,10,202,21,19870802,1,214,eor,                                                                            
4808,01691,1987,10,202,22,19870822,1,234,eor,                                                                            
4809,01691,1987,10,202,24,19870826,1,238,eor,                                                                            
4810,01691,1988,10,202,10,19880923,1,266,eor,                                                                            
4811,01691,1988,10,202,12,19881015,1,288,eor,                                                                            
4812,01691,1988,10,202,15,19880515,1,135,eor,                                                                            
4813,01691,1988,10,202,18,19880607,1,158,eor,                                                                            
4814,01691,1988,10,202,21,19880714,1,195,eor,                                                                            
