,Stations_id,Referenzjahr,Qualitaetsniveau,Objekt_id,Phase_id,Eintrittsdatum,Eintrittsdatum_QB,Jultag,eor,Unnamed: 9
3910,01691,1991,10,215,65,19910720,2,201,eor,                                                                            
3911,01691,1992,10,215,10,19920507,1,127,eor,                                                                            
3912,01691,1992,10,215,24,19920915,1,258,eor,                                                                            
3913,01691,1992,10,215,65,19920712,1,193,eor,                                                                            
3914,01691,2015,10,215,5,20150728,1,209,eor,                                                                            
3915,01691,2015,10,215,12,20150527,1,147,eor,                                                                            
3916,01691,2015,10,215,19,20150907,1,250,eor,                                                                            
3917,01691,2015,10,215,20,20150913,1,256,eor,                                                                            
3918,01691,2015,10,215,21,20150918,1,261,eor,                                                                            
3919,01691,2015,10,215,24,20151007,1,280,eor,                                                                            
3920,01691,2015,10,215,65,20150722,1,203,eor,                                                                            
3921,01691,2015,10,215,67,20150627,1,178,eor,                                                                            
5200,02261,1974,7,215,12,19740428,1,118,eor,                                                                            
5201,02261,1974,7,215,24,19741005,1,278,eor,                                                                            
5202,02261,1975,7,215,10,19750502,1,122,eor,                                                                            
5203,02261,1975,7,215,12,19750515,1,135,eor,                                                                            
5204,02261,1976,7,215,24,19760925,1,268,eor,                                                                            
5205,02261,1977,7,215,10,19770504,1,124,eor,                                                                            
5206,02261,1977,7,215,12,19770520,1,140,eor,                                                                            
5207,02261,1977,7,215,24,19770927,1,270,eor,                                                                            
5208,02261,1978,7,215,10,19780508,1,128,eor,                                                                            
5209,02261,1978,7,215,12,19780524,1,144,eor,                                                                            
5210,02261,1979,7,215,10,19790506,1,126,eor,                                                                            
5211,02261,1979,7,215,12,19790528,1,148,eor,                                                                            
5212,02261,1982,10,215,10,19820423,1,113,eor,                                                                            
5213,02261,1982,10,215,12,19820530,1,150,eor,                                                                            
5214,02261,1982,10,215,24,19821017,1,290,eor,                                                                            
5215,02261,1983,10,215,10,19830505,1,125,eor,                                                                            
5216,02261,1983,10,215,12,19830522,1,142,eor,                                                                            
5217,02261,1983,10,215,65,19830713,1,194,eor,                                                                            
5218,02261,1984,10,215,10,19840420,1,110,eor,                                                                            
5219,02261,1984,10,215,12,19840518,1,138,eor,                                                                            
5220,02261,1984,10,215,24,19841005,1,278,eor,                                                                            
5221,02261,1985,10,215,10,19850418,1,108,eor,                                                                            
5222,02261,1985,10,215,12,19850502,1,122,eor,                                                                            
5223,02261,1985,10,215,24,19851015,1,288,eor,                                                                            
5224,02261,1986,10,215,12,19860522,1,142,eor,                                                                            
5225,02261,1986,10,215,24,19861008,1,281,eor,                                                                            
5226,02261,1989,10,215,10,19890426,1,116,eor,                                                                            
5227,02261,1989,10,215,12,19890517,1,137,eor,                                                                            
5228,02261,1989,10,215,24,19891011,1,284,eor,                                                                            
5229,02261,1991,10,215,5,19910818,1,230,eor,                                                                            
5230,02261,1991,10,215,12,19910602,1,153,eor,                                                                            
5231,02261,1991,10,215,24,19911011,1,284,eor,                                                                            
5232,02261,1991,10,215,65,19910813,1,225,eor,                                                                            
5233,02261,1991,10,215,67,19910714,1,195,eor,                                                                            
5810,02597,2006,10,215,24,20060920,1,263,eor,                                                                            
5811,02597,2007,10,215,24,20070924,1,267,eor,                                                                            
5812,02597,2007,10,215,65,20070624,1,175,eor,                                                                            
5813,02597,2008,10,215,5,20080718,1,199,eor,                                                                            
5814,02597,2008,10,215,10,20080504,1,124,eor,                                                                            
5815,02597,2008,10,215,12,20080517,1,137,eor,                                                                            
5816,02597,2008,10,215,19,20080804,1,216,eor,                                                                            
5817,02597,2008,10,215,24,20080925,1,268,eor,                                                                            
5818,02597,2008,10,215,65,20080714,1,195,eor,                                                                            
5819,02597,2009,10,215,5,20090728,1,209,eor,                                                                            
5820,02597,2009,10,215,10,20090415,1,105,eor,                                                                            
5821,02597,2009,10,215,12,20090501,1,121,eor,                                                                            
5822,02597,2009,10,215,19,20090805,1,217,eor,                                                                            
9763,04104,2012,10,215,24,20121002,1,275,eor,                                                                            
10760,04887,1969,7,215,24,19690927,1,270,eor,                                                                            
10761,04887,1970,7,215,24,19701012,1,285,eor,                                                                            
10762,04887,1971,7,215,24,19711007,1,280,eor,                                                                            
10763,04887,1972,7,215,10,19720523,1,143,eor,                                                                            
10764,04887,1972,7,215,12,19720606,1,157,eor,                                                                            
10765,04887,1972,7,215,24,19721003,1,276,eor,                                                                            
10766,04887,1973,7,215,10,19730508,1,128,eor,                                                                            
